positive,negative
100强,一事无成
3A级,一劫
50强,一厢情愿
AAA企业,一去不复返
AAA级,一味
A级,一哄而上
TOP,一哄而散
一专多能,一地鸡毛
一丝不苟,一塌糊涂
一举,一怒之下
一吐为快,一意孤行
一帆风顺,一成不变
一席之地,一拖再拖
一往情深,一损俱损
一往无前,一文不值
一心,一无所得
一心一意,一毛不拔
一日千里,一气之下
一枝独秀,一波三折
一气呵成,一潭死水
一流,一穷二白
一炮打响,一窍不通
一炮而红,一窝蜂
一线,一筹莫展
一统天下,一落千丈
一统江山,一言堂
一飞冲天,一语成谶
一马当先,一败涂地
一骑绝尘,一蹶不振
万众一心,一错再错
万全,一鼻子灰
万岁,七零八落
万灵丹,万万不能
万能,万念俱灰
万能的,三人成虎
万象更新,三八
万马奔腾,三心二意
三好,三流
三甲,上台
三连冠,上吊
上乘,上当
上位,上瘾
上佳,上诉
上升,上钩
上品,下不了台
上扬,下台
上攻,下场
上榜,下坡
上流,下坡的
上涨,下坡路
上游,下岗
上策,下挫
上行,下架
上调,下滑
上进,下滑的
不一般,下狱
不乏,下等的
不亦乐乎,下线
不俗,下落
不凡,下行
不可多得,下调
不可或缺,下跌
不同凡响,下降
不吝,下降的
不含糊,下风
不容小觑,不一致
不屈不挠,不上心
不差钱,不严
不平凡,不严密
不怠,不义
不愧,不乐观
不懈,不买账
不拘一格,不了
不拘泥,不了了之
不畏艰辛,不予
不竭源泉,不予置评
不缺钱,不争气
不虚此行,不仁
不负众望,不付欠款
不败之地,不令人满意的
不走弯路,不以
不错,不以为然
与众不同的,不休
与时俱进,不伦不类
专一的,不住
专业人士,不体面
专业化,不作为
专利,不佳
专属,不依
专心,不便
专心致志,不便的
专攻,不信
专注,不值
专长,不值钱
世界纪录,不值钱的
业务精,不健全
东山再起,不健全的
东风,不健康
丢掉包袱,不像
两全,不像话
两连冠,不充分
严密,不充分的
严整,不充足的
严明,不光彩
严谨,不全
个性化,不公
中国特色,不公平
中坚,不公平地
中心地位,不公平待遇
中意,不公平的
中意的,不公开的
中标,不公正
中流砥柱,不公正地
中肯,不公正的
中选,不兴
丰利,不再
丰功伟绩,不准
丰厚,不准确
丰富,不准确地
丰富多彩,不准许
丰富的,不切实际
丰年,不切实际的
丰收,不划算
丰沃,不利
丰沛,不利于
丰润,不利于经济发展的因素
丰满,不利地
丰登,不利条件
丰盛,不利的
丰硕,不前
丰碑,不力
丰裕,不加
丰饶的,不务正业
为傲,不劳
为荣,不劳而获
主人翁,不匹配
主力军,不协调
主动,不占优势
主动性,不参加
主动权,不及格
主导,不友好
主将,不友好的
主心骨,不发达
主旋律,不受
主流,不受待见
主轴,不受欢迎
举一反三,不受欢迎的
举世瞩目,不可
举世闻名,不可一世
举手称赞,不可信的
举荐,不可否认
义不容辞,不可告人
义卖,不可思议
义无反顾,不可恢复的
义演,不可收拾
义诊,不可理喻
乐业,不可能的
乐事,不可讳言
乐于,不可调和
乐呵呵,不可逆转
乐园,不可避免
乐土,不可避免地
乐在其中,不可避免的
乐天,不可靠
乐悠悠,不可靠地
乐意,不可靠的
乐此不疲,不可预知的
乐滋滋,不合
乐章,不合宜
乐观,不合时宜
乐观主义的,不合标准
乐观的,不合格
乐趣,不合格品
乐颠颠,不合格的
乘势,不合法地
乘胜,不合法的
乘风破浪,不合理
了不起,不合理的
了不起的,不合规定
争先,不合规格的
争光,不合适
争气,不合适的
争雄,不合逻辑
事半功倍,不同意
事迹,不同意的
互信,不听话
互利,不周
互助,不周到
互助合作,不周到的
互惠,不和
互惠互利,不善
互敬,不喜欢
互爱,不在乎
互相学习,不在意
互相支持,不均
互补,不均衡
互通,不堪
五连冠,不堪一击
井井有条,不堪重负
井喷,不增反降
井然有序,不够
亢奋,不大
交口称誉,不好
交口称赞,不好意思
产能扩张,不好的预兆
产销两旺,不好过
亨通,不如
享受,不如人意
享有,不如意
享有声望的,不如预期
享用,不妙
享誉,不妥
亮丽,不学无术
亮点,不宁
亮相,不守
亮眼,不安
亲临,不安全
亲人,不安全的
亲切,不安宁
亲切地,不安定
亲切的,不安的
亲和力,不安的状态
亲密,不安稳
亲民,不完全
亲热,不完全的
亲睐,不完备的
亲近,不完美的
人尽其才,不定
人心所向,不定的
人情,不宜
人情味,不宜的
人才,不实
人才济济,不实在的
人才荟萃,不容
人才辈出,不容乐观
人权,不寒而栗
人格,不对劲
人缘,不对头
人道,不寻常的
仁义,不尊重
仁慈,不尽
仁慈的,不尽人意
仁爱,不尽合理
从优,不屑
从容,不屑一顾
从容不迫,不屑于
从容地,不履行
仙境,不履行义务
令人信服地,不平
令人愉快的,不平坦
令人振奋,不平常的
令人欣慰,不平衡
令人满意,不幸
令人满意地,不幸事件
令人满意的,不幸的
令人满足,不强
令人满足的,不归路
令人激动,不当
令人瞩目,不彰
令人钦佩,不得人心
令人钦佩的,不得已
令人难忘,不得要领
令人高兴,不必要
令人高兴的事,不必要地
令人鼓舞的,不必要的
以身作则,不忠
仰慕,不忠诚的
仰望,不快
价升量增,不忿
价格优势,不怀
任人唯贤,不怀好意
任劳任怨,不思进取
企盼,不恰当
企稳,不恰当地
众人拾柴火焰高,不恰当的
众志成城,不悦
众望,不情愿
众望所归,不情愿的
优于,不惧
优先,不愉快的
优势,不愿
优化,不愿意
优厚,不愿意的
优异,不慎
优待,不懂事
优惠,不成功
优点,不成功的
优秀,不成正比
优秀企业,不成比例
优秀的,不成比例地
优等,不成比例的
优美,不成熟
优胜,不成熟的
优胜劣汰,不承诺
优胜者,不披露
优良,不择手段
优良传统,不按计划的
优良的,不振
