pos,neg
100强,阿斗
3A级,哀鸿遍野
50强,挨打
AAA级,安全问题
AAA企业,安全隐患
A级,安于现状
TOP,案发
熬过,暗潮汹涌
鳌头,暗伏
傲人,暗礁
傲视,暗箱操作
拔得头筹,暗自神伤
把握,黯淡
霸主,傲慢
白金时代,八字还没一撇
白银时代,罢免
百花齐放,白热化
百强,百密一疏
摆脱,摆设
扳回一城,败北
榜首,败笔
榜样,败局
包容开放,败诉
宝贵,败象
宝座,半停产
保障,半停工
堡垒,绊倒
报喜,棒杀
抱团取暖,包袱
暴增,饱和
暴涨,保护主义抬头
爆发式,保壳失败
爆红,保留意见
备受瞩目,保守
倍增,报忧
比肩,抱怨
必胜,暴跌
便捷,爆仓
便利,杯水车薪
变革,悲催
变稳,悲观
标杆,悲剧
飙红,悲壮
飙升,背道而驰
飙涨,背离
表彰,被带走
别出心裁,被动
禀赋,被否
并进,被告
波澜壮阔,被控
钵满盆溢,被免
勃勃,被迫
博得,被曝
薄利多销,被取消
补涨,被淘汰
不败之地,被指
不差钱,笨象
不错,崩盘
不怠,逼宫
不负众望,逼入
不竭源泉,"
闭关"
不拘一格,壁垒
不可多得,避之不及
不可或缺,边缘化
不愧,编造
不平凡,贬值
不缺钱,变本加厉
不容小觑,变差
不俗,变坏
不畏艰辛,变脸
不一般,变卖
不走弯路,变相
布局合理,变阵
步入正轨,濒临
插上翅膀,冰冻期
差距缩小,冰火两重天
蝉联,波动
产能扩张,波及
产销两旺,波折
长期推荐,剥夺
长青,剥离
长盛不衰,剥削
长治久安,驳回
常青树,搏杀
常抓不懈,薄弱
畅通,补跌
畅销,不安
畅行,不被看好
唱多,不策
唱高,不畅
超出预期,不成熟
超额,不成正比
超过,不达标
超群,不当
超预期,不道德
超越,不敌
朝气蓬勃,不发达
朝阳,不负责任
潮流,不给力
称霸,不公
称号,不公正
称王,不够
称雄,不归路
称赞,不规范
成本低,不过关
成本降低,不过硬
成本锐减,不好
成本下降,不合
成本优势,不和
成长,不火
成功,不济
成果,不佳
成绩,不见
成就,不见起色
成熟,不健全
成效,不尽
成型,不景气
成竹,不均
承上启下,不堪
诚信,不看好
乘胜,不靠谱
乘势,不可
驰名,不牢
持久,不乐观
持之以恒,不理想
叱咤风云,不理性
充分,不力
充实,不利
充裕,不良
充足,不了了之
冲出,不领情
冲破,不满
宠儿,不妙
宠幸,不明朗
出彩,不明显
出路,不能适应
出色,不匹配
出众,不平衡
初见,不前
初具,不强
传奇,不切实际
创记录,不清
创利,不求进取
创奇迹,不全
创新,不容乐观
创意,不如
创造,不善
垂青,不上心
春风拂动,不甚
春暖花开,不实
春天,不受待见
慈善,不思进取
聪明,不统一
促进,不突出
蹿升,不旺
催化剂,不稳
达标,不务正业
达产,不显著
达到,不现实
达效,不消化
打开,不严
打破,不一致
打通,不友好
打造,不再
大道至简,不增反降
大放异彩,不占优势
大获,不振
大奖,不争气
大开发,不正
大佬,不正常
大礼,不正当
大力推行,不知去向
大势所趋,不着边际
大头,不足
大有,不作为
大涨,步履维艰
大制作,擦肩而过
淡季不淡,猜疑
到位,财务困难
得宠,裁员
得力,踩雷
得体,踩踏
得天独厚,参差不齐
得益,残局
得主,残酷
德才兼备,残忍
登顶,蚕食
低成本,惨案
低负债,惨淡
低库存,惨剧
低损耗,惨烈
底气,惨痛
底气十足,惨重
底气足,仓促
底蕴,操纵
第二,草草
第三,草木皆兵
第一,查封
颠覆,查扣
巅峰,差错
典范,差距
典型,差评
点燃,差强人意
奠定,差于
顶级,拆穿
顶尖,掺假
顶梁柱,缠身
定心丸,产量降低
丢掉包袱,产能过剩
东风,产能降低
东山再起,产能限制
动力,猖獗
动能,偿债压力
洞察力,唱空
洞若观火,唱衰
独创,超跌
独大,超负荷
独当,超载
独到,超支
独具,炒作
独领,扯皮
独善其身,掣肘
独树,撤销
独享,沉寂
独一无二,沉疴
独占,沉沦
多层次,沉闷
多功能,沉重
多管齐下,陈旧
多样化,成本高
夺得,成本上升
夺冠,成本增加
夺魁,成交乏力
夺人眼球,成交骤减
遏制,惩罚
发明,程度低
发展,吃紧
法宝,迟钝
翻倍,迟缓
翻番,迟滞
翻红,踟蹰不前
翻两番,赤字
翻三番,冲高回落
翻身,冲击
翻身仗,冲突
翻新,丑态
翻一番,丑闻
繁华,丑行
繁荣,出格
反哺,出局
反弹,出具保留意见
反响不错,出师不利
反响很好,出逃
反映不错,出走
反映很好,除名
反转,处罚
芳心,触礁
放宽,穿包
飞速,串通
飞跃,辞退
肥沃,次质量
斐然,从紧
费用减少,粗糙
费用降低,粗放
分得,猝不及防
分羹,篡改
分一杯羹,脆弱
奋进,存疑
丰富,存在问题
丰厚,挫伤
丰收,挫折
丰硕,措手不及
风风火火,错报
风光,错误
风靡,错综复杂
风头,达不到
风向标,打补丁
风雨同舟,打击
风雨无阻,打压
峰回路转,打折扣
扶持,大兵压境
福利,大打折扣
福音,大倒槽水
负债率低,大跌
复活,大降
复苏,大起大落
富民,大伤元气
富饶,大失
富余,大势已去
富裕,大洗牌
富足,呆账
改革,呆滞
改观,代价
改进,带强调事项段
改良,殆尽
改善,逮捕
改造,戴帽
赶超,戴星
敢为人先,单薄
高标准,单打独斗
高产,单一
高潮,担心
高成长,担忧
高档,胆战心惊
高地,淡出
高度评价,淡季
高端,荡然无存
高峰,倒闭
高附加值,倒春寒
高富帅,倒挂
高歌猛进,倒霉
高绩效,倒退
高技术,倒下
高居,得不到
高举高打,得而复失
高踞,得过且过
高开高走,低潮
高毛利率,低端
高明,低附加值
高抛低吸,低估
高品质,低谷
高起点,低开工率
高潜力,低流动性
高水平,低门槛
高速,低迷
高位,低靡
高效,低品质
高效率,低水平
高效能,低速
高新,低位
高性价比,低下
高性能,低效
高溢价,低效率
高增长,低效益
高瞻远瞩,低性价比
高涨,低于目标
高质量,低于预期
搞好,低质
告捷,低走
革新,诋毁
各有千秋,抵押
给力,抵制
跟涨,地雷
更好,癫狂
更进一步,垫底
更快,吊诡
更快捷,吊销
更强,调查
更新换代,调低
更有效,调减
公正,调戏
功不可没,跌出
攻坚克难,跌跌不休
攻克,跌幅
供不应求,跌回
供需平衡,跌价
巩固,跌破
共度,跌入
共赢,跌势
贡献,跌停
骨干,跌无止境
鼓励,钉子户
鼓舞,定时炸弹
固本强基,丢人
冠军,冬季
光彩,冬眠
光环,冬天
光鲜,动荡
广泛,动摇
广阔,冻结
规避,毒瘤
规范,渎职
规模化,堵死
规模经济,短板
规模效益,短斤少两
规模应用,短缺
国际化,断裂
国家级,断章取义
过硬,兑付不足
汗马功劳,兑付困难
旱涝保收,兑付危机
夯实,多变
毫不逊色,多事之秋
豪华,恶炒
好处,恶化
好评,恶劣
好声音,恶势力
好时机,恶性
好事,恶意
好转,噩梦
号召力,发难
耗能降低,乏力
合法,乏善可陈
合规,罚款
合理,繁多
合力,繁琐
合时宜,繁重
合意,反常
和解,反弹
和谐,反对
和衷共济,反感
核心技术,反目
核心竞争力,反水
赫赫有名,犯错
鹤立鸡群,犯罪
黑马,妨碍
很大,放缓
很好,放慢
很强,放弃
红火,放任
红极一时,飞不动
红利,非标意见
宏伟,非标准意见
后劲十足,非法
后劲足,非理性
后来居上,非议
后市升浪,诽谤
厚道,废话
厚积薄发,废旧
互惠互利,废弃
互补,费用高
华丽,费用率上升
化解,费用上升
化危为机,费用增加
划时代,分道扬镳
划算,分裂
欢欣鼓舞,分歧
欢迎,分手
缓解,分文不剩
焕发,粉饰
焕然一新,风暴
黄金,风光不复
黄金时代,风光不再
恢复,风口浪尖
辉煌,风声鹤唳
回报,风雨飘摇
回补,封闭
回笼快,封杀
回暖,封锁
回升,疯狂
回稳,否定
回涨,否定意见
惠及,否决
豁免债务,敷衍
豁然开朗,浮亏
活力,腐败
活跃,腐化
火爆,腐烂
火热,负担
获得,负荷
获奖,负面
获利,负能量
获益,负数
机遇,负现金流
积极,负隅顽抗
积累,负增长
积蓄,负债
基石,负债高企
绩效,负债累累
绩优,负债率高
跻身,负债上升
激动人心,负债增加
激发,负值
及时,负重
极致,附加值低
集思广益,复杂
集约畅通,腹背受敌
技压群雄,干枯
继往开来,肝颤
加大,尴尬
加紧,刚性
加快,高成本
加强,高费用
加速,高负荷
佳绩,高负债
价升量增,高估
驾驭,高库存
尖端,高门槛
坚持,高损耗
坚定,高位波动
坚强,高位回落
坚实,高消耗
坚守,告吹
坚挺,告负
减亏,告警
减免,告终
减少成本,搁浅
减少费用,搁置
减少负债,隔行如隔山
减少坏账,跟不上
减少库存,跟风
减少摩擦,更别谈
减少难度,攻击
减少损耗,供大于求
减少损失,供过于求
减少支出,供认
减税,诟病
见底,谷底
见光涨,固守陈规
健康,故伎重演
健全,故障
渐入佳境,顾此失彼
奖罚分明,痼疾
奖励,怪圈
奖优惩劣,怪胎
奖章,怪相
降低成本,关闭
降低费用,关联交易
降低负债,关停
降低耗能,观望
降低库存,官司
降低难度,规避
降低损耗,过大
降低依赖,过度
骄人,过多
佼佼者,过分
脚踏实地,过高
叫得响,过快
较高,过冷
较好,过量
较强,过慢
接地气,过猛
接轨,过期
节电,过热
节节高,过剩
节能,过失
节水,过时
节支降耗,过于
节约,海啸
杰出,害人
捷报,寒冬
捷足先登,寒气逼人
解冻,寒意
解放,喊停
解封,毫无悔意
解决,合谋
解渴,黑榜
解套,黑天鹅
解围,很惨
金奖,很差
金牌,很坏
紧密衔接,很难
锦上添花,很缺钱
进步,很一般
进取,哄抬
进展,红线
晋级,后顾之忧
晋升,后劲不足
经典,后知后觉
经久不衰,忽视
惊喜,忽悠
精彩,糊弄
精诚,虎视眈眈
精粹,花瓶
精雕细琢,哗然
精干,滑落
精耕,滑坡
精简,滑铁卢
精进,画饼充饥
精力,怀疑
精良,坏账
精密,坏账上升
精品,坏账增加
精确,缓慢
精髓,幻想
精通,患疾
精细,谎报
精心,幌子
精益,灰色地带
精湛,灰色交易
精准,灰头土脸
井喷,回潮
景气,回扣
净化,回笼慢
竞争力,回落
靓丽,悔不当初
救赎,会计差错更正
居安思危,讳莫如深
居前,贿赂
居首,毁损
巨人,浑水摸鱼
巨头,混乱
具有,混战
聚宝盆,火药味
崛起,获利微小
掘金,祸不单行
均衡,祸首
开辟,击溃
开创,饥渴
开放,鸡飞蛋打
开花,积弱难返
开局,积压
开门红,积重难返
开拓,畸高
开源节流,稽查
开闸,激进
凯旋,羁押
楷模,岌岌可危
看得见,极其不利
看多,亟待
看高,急跌
看好,急功近利
看涨,急剧
慷慨,急转直下
亢奋,挤兑
抗跌,挤压
抗衡,挤占
靠前,加剧
科学,夹击
可持续,价跌量减
可观,价跌量缩
可贵,价格倒挂
可靠,价格回落
可控,价格企高
可圈可点,假冒
可喜,假造
可行,尖锐
克服困难,艰巨
客观,艰难
肯定,艰涩
口碑,艰辛
苦尽甘来,煎熬
库存降低,减产
跨越,减持
快,减缓
快刀斩乱麻,减弱
快捷,减少
快马,减速
快速,减退
快中保好,减值
快周转,见顶
宽松,见光死
宽裕,剑拔弩张
狂欢,贱卖
馈赠,僵局
扩充,降低
扩大,降幅
扩建,降级
扩容,降价
扩展,降温
扩张,胶着
拉动,焦虑
拉高,焦头烂额
拉涨,侥幸
蓝图,狡猾
捞金,搅局
牢固,叫苦
老大,叫停
老牌,"
较低"
老字号,较少
乐观,教训
冷静,揭发
里程碑,解除
理顺,解雇
理想,解聘
理性,解散
力量,解体
历久弥新,借款
历史性,今非昔比
立竿见影,紧迫
立功,紧缺
立足,紧缩
利得,紧张
利好,谨慎
利器,进退维谷
利润增加,警报
连翻,警告
连续盈利,警钟
连阳,窘境
连涨,纠缠
廉正,纠纷
良好,纠葛
良机,纠结
良品,久候不至
良性,咎由自取
两连冠,救命稻草
亮点,居高不下
亮丽,居心叵测
亮相,拘捕
亮眼,拘禁
量价齐升,拘留
量利双升,狙击
量利同增,举步维艰
量质齐升,举债
灵感,龃龉
灵活,巨亏
领导力,绝迹
领导者,绝收
领航,噱头
领军,卡死
领跑,开除
领头羊,开工率低
领舞,开脱
领先,堪忧
领衔,坎坷
领袖,看不到
领涨,看跌
柳暗花明,考验
龙虎榜,靠山吃山
龙头,靠水吃水
露了把脸,靠天吃饭
露了一把脸,苛刻
露了一手,磕磕碰碰
屡试不爽,可乘之机
率先,可耻
洛阳纸贵,刻意
落袋为安,刻舟求剑
"落后
落实",坑爹
迈进,空白
满产满销,空欢喜
满意,空壳
满足,空空
美好,空缺
美誉,空心化
猛增,空悬
猛涨,恐怖
蜜月期,恐慌
免于,控诉
名列,控制权转移
免遭,枯竭
名牌,窟窿
名气,苦不堪言
名震,苦果
明朗,苦苦
明了,苦日子
明晰,苦于
明星,苦战
明智,库存高
明珠,库存积压
模范,库存上升
内培外引,库存增加
内外兼修,夸大
耐用,夸张
囊括,垮下来
能力,亏
能征善战,匮乏
逆境而为,困顿
逆市,困境
逆势,困局
逆袭,困难
逆转,困扰
涅槃重生,困住
牛,拦截
凝聚力,烂泥扶不上墙
扭亏,烂泥扶上了墙
扭转,烂摊子
暖风,烂尾
偶像,滥用
排头兵,浪费
排忧解难,老化
攀升,老赖
盘活,勒紧
庞大,勒令
跑马圈地,羸弱
培育,冷待
跑赢,冷淡
盆满钵满,冷宫
蓬勃,冷落
捧场,冷清
媲美,冷遇
飘红,离谱
品牌,力不从心
品质,历经波折
平顺,利空
平稳,利润减少
评先树优,利润降低
颇具,利润稀释
颇丰,利益受损
破冰,利益输送
破釜沉舟,利欲熏心
破解,连阴
破旧立新,脸色
铺路,良莠不齐
铺设,凉意
普及,两败俱伤
齐驱并进,两难
齐全,量价齐跌
齐头并进,劣币驱逐良币
齐抓共管,劣迹
齐心协力,劣势
奇妙,裂痕
旗鼓相当,吝啬
企稳,零增长
起飞,零值
起色,领跌
起跳,流产
起舞,流动性不足
契机,流动性差
前100,流动性低
前50,流年不利
前列,流失
前进,垄断
前茅,漏报
前三,漏洞
前十,漏税
前途,屡禁不止
前五,屡屡碰壁
前行,屡战屡败
前沿,律师函
前瞻,乱象
钱景,乱字了得
潜力,沦落
强国,沦为
强大,沦陷
强悍,裸泳
强化,落败
强健,落后
强劲,落空
强力,落寞
强烈推荐,落伍
强流动性,麻烦
强强,马后炮
强人,马虎
强势,马失前蹄
强有力,埋单
强心剂,慢
强者,漫漫熊途
抢筹,忙中出错
抢先,盲目
抢眼,盲区
抢占,茫然
巧避,猫腻
巧躲,矛盾
巧妙,矛头
切实,冒充
亲民,冒进
节约,冒险
勤勉,没落
勤俭,没收
青睐,没有底气
青史留名,美梦破灭
轻松,门槛低
轻装,门槛高
清晰,门槛提高
情有独钟,门外汉
求真务实,猛跌
驱动,蒙上
取得,蒙羞
取胜,梦断
去库存,梦碎
去除,免除
全力,免职
全面,面临考验
全套,面临困难
全新,面临难关
群贤毕至,面临难题
冉冉升起,面临淘汰
惹眼,渺茫
热潮,敏感
热点,名不副实
热门,名不见经传
热情,明日黄花
热捧,命途多舛
热土,命悬一线
热销,摩擦
人才辈出,摩擦上升
人才荟萃,摩擦增加
人才济济,磨难
人尽其才,魔咒
认可,漠视
认同,墨守成规
日渐成熟,牟利
日新月异,暮气
荣登,内斗
日臻完善,内杠
荣获,内耗
荣耀,内讧
荣膺,内幕交易
荣誉,内外交困
融合,内忧外患
融洽,难熬
如沐春风,难出家门
如期,难当
如意,难度
入围,难度加大
入驻,难度上升
入选,难度增大
三甲,难度增加
三连冠,难过
善加利用,难解
善谋思进,难堪
擅长,难扛
上榜,难立足
上乘,难实现
上调,难逃
上攻,难题
上佳,难突破
上位,难完成
上升,难维持
上行,难兄难弟
上扬,难续
上游,难掩
上涨,难以
蛇吞象,难有
深耕细作,闹剧
深入人心,能力不足
深造,能力差
神话,能力降低
审时度势,能力弱
升级,泥古不化
升高,泥菩萨过河自身难
升温,泥沙俱下
升值,泥潭
生机,逆境
生命张力,酿苦果
声望,酿苦酒
声誉,捏一把汗
胜出,捏造
胜诉,怒气难消
盛产,挪用
盛典,挪占
盛况,徘徊
盛景,蹒跚
盛行,判处
盛宴,判刑
盛誉,旁落
失而复得,抛弃
十强,抛售
时髦,抛压
实惠,炮轰
实力,炮制
实事求是,跑不动
实现,跑单
实至名归,跑输
实效,泡沫
拾遗补缺,泡汤
矢志不渝,泡影
世界纪录,赔偿
示范,赔了夫人又折兵
事半功倍,赔钱
势头迅猛,捧杀
势在必行,碰壁
拭目以待,批评
适销对路,纰漏
收放自如,披捕
收获,披星戴帽
收红,疲劳
收入囊中,疲软
收入增长,疲弱
收效,疲态
收益,蚍蜉撼树
首创,偏差
首家,偏低
首肯,偏激
首款,偏紧
首屈一指,偏离
首位,偏失
受欢迎,骗得
首选,骗局
受惠,骗取
受期待,品质低
受益,平淡
售罄,平平
殊荣,瓶颈
舒适,泼冷水
熟练,泼了冷水
曙光,迫不得已
刷新,迫使
双轮驱动,迫于
双喜临门,破产
双升,破发
双赢,破裂
水到渠成,破灭
顺差,破碎
顺畅,破位
顺风,扑朔迷离
顺境,曝光
顺利,凄惨
顺势而为,欺骗
顺应形势,欺诈
硕果,蹊跷
四连冠,其害
硕果累累,其实难副
塑造者,奇葩
损耗低,杞人忧天
缩小差距,起诉
饕餮大餐,气急败坏
特色,弃权
腾飞,千疮百孔
提高,牵绊
提炼,牵强
提升,前高后低
提速,前景不明
提质降耗,前科
提振,钱荒
体面,潜亏
添彩,遣散
甜头,谴责
填补,欠佳
跳出逆境,欠款
